model	sample_size	rep	mut_count	mean_MAF	median_MAF	sd_MAF	Q1_MAF	Q3_MAF
Emp/BloomDFE	1000	63	22	0.09354545454545454	0.04000000000000002	0.11329974037406777	0.03025	0.0705
Emp/BloomDFE	1000	64	25	0.12888	0.09799999999999998	0.1206777112809155	0.039	0.149
Emp/BloomDFE	1000	65	24	0.07179166666666667	0.043	0.08551022271287684	0.0365	0.05500000000000001
Emp/BloomDFE	1000	66	33	0.1326969696969697	0.043	0.1405585920640581	0.031	0.189
Emp/BloomDFE	1000	67	23	0.10813043478260868	0.07199999999999995	0.10459284885507494	0.0285	0.164
Emp/BloomDFE	1000	68	36	0.11816666666666667	0.045	0.13032300531481658	0.0305	0.18125000000000002
Emp/BloomDFE	1000	69	30	0.10716666666666667	0.082	0.09029075002584643	0.03800000000000003	0.14075
Emp/BloomDFE	1000	70	38	0.07165789473684211	0.0445	0.06443235561037743	0.03125	0.068
Emp/BloomDFE	1000	71	23	0.09204347826086957	0.068	0.08494408763248575	0.041499999999999995	0.1075
Emp/BloomDFE	1000	72	21	0.12309523809523809	0.039	0.1500549581859609	0.035	0.14500000000000002
Emp/BloomDFE	1000	73	22	0.1455	0.068	0.15633107420441006	0.03	0.19974999999999998
Emp/BloomDFE	1000	74	34	0.08658823529411763	0.059	0.08524443202186778	0.033	0.1
Emp/BloomDFE	1000	75	42	0.08707142857142858	0.048	0.09701179029605624	0.0325	0.09575
Emp/BloomDFE	1000	76	30	0.1238	0.0655	0.12153512334669575	0.04125	0.16949999999999998
Emp/BloomDFE	1000	77	37	0.06294594594594594	0.043	0.07216337403802953	0.03	0.065
Emp/BloomDFE	1000	78	35	0.11117142857142857	0.057	0.10960235230254915	0.038	0.14150000000000001
Emp/BloomDFE	1000	79	35	0.10591428571428571	0.06399999999999995	0.10219427042433946	0.03450000000000003	0.128
Emp/BloomDFE	1000	80	27	0.12848148148148147	0.073	0.12512466717710913	0.037000000000000005	0.186
Emp/BloomDFE	1000	81	42	0.09469047619047619	0.0535	0.09107554840263594	0.03725	0.12225
Emp/BloomDFE	1000	82	25	0.0966	0.07	0.09990620601344041	0.031	0.1
Emp/BloomDFE	1000	83	34	0.10023529411764706	0.051000000000000004	0.11496773165822725	0.032	0.12675
Emp/BloomDFE	1000	84	41	0.08753658536585365	0.05	0.09638000248002063	0.037	0.1
Emp/BloomDFE	1000	85	36	0.11474999999999999	0.056999999999999995	0.11698409537808364	0.033	0.12875
Emp/BloomDFE	1000	86	29	0.1146551724137931	0.054	0.1299668297962624	0.032	0.121
Emp/BloomDFE	1000	87	19	0.12752631578947368	0.057	0.12953565293044597	0.034	0.17350000000000002
Emp/BloomDFE	1000	88	23	0.13978260869565218	0.066	0.1398304026382542	0.037000000000000005	0.198
Emp/BloomDFE	1000	89	26	0.07411538461538461	0.035500000000000004	0.09214350847371805	0.029	0.06874999999999999
Emp/BloomDFE	1000	90	27	0.12303703703703704	0.065	0.1261008392217183	0.0375	0.1475
Emp/BloomDFE	1000	91	28	0.14017857142857143	0.0985	0.13253065433560773	0.045000000000000005	0.17025
Emp/BloomDFE	1000	92	25	0.15628	0.092	0.14106396894080833	0.045	0.281
Emp/BloomDFE	1000	93	28	0.11821428571428572	0.08449999999999999	0.11291273495175695	0.03275	0.153
Emp/BloomDFE	1000	94	34	0.1485	0.076	0.13807601112606363	0.0385	0.23875000000000002
Emp/BloomDFE	1000	95	35	0.11477142857142858	0.047	0.11963549682615247	0.032	0.16050000000000003
Emp/BloomDFE	1000	96	22	0.12377272727272727	0.07349999999999998	0.11735494869277557	0.044	0.18150000000000005
Emp/BloomDFE	1000	97	35	0.08791428571428572	0.058	0.09809040590747109	0.043	0.088
Emp/BloomDFE	1000	98	29	0.13037931034482758	0.073	0.12494867911984146	0.04	0.168
Emp/BloomDFE	1000	99	29	0.12017241379310345	0.065	0.1318356847869773	0.03	0.117
Emp/BloomDFE	1000	100	27	0.11222222222222222	0.052	0.11857497898387179	0.037	0.1255
Emp/Flynn10pct	100	1	72	0.16944444444444445	0.09	0.1489010342370734	0.05750000000000001	0.2925
Emp/Flynn10pct	100	2	76	0.18013157894736842	0.105	0.1624437824483915	0.04	0.31500000000000006
Emp/Flynn10pct	100	3	71	0.14746478873239438	0.07	0.14679157536997003	0.04	0.22999999999999998
Emp/Flynn10pct	100	4	69	0.16956521739130437	0.09	0.15458135857676164	0.04	0.26
Emp/Flynn10pct	100	5	67	0.1417910447761194	0.08	0.13187373866275234	0.04	0.21999999999999997
Emp/Flynn10pct	100	6	77	0.17103896103896105	0.1	0.1394876377807123	0.06	0.26
Emp/Flynn10pct	100	7	63	0.11634920634920634	0.06	0.11997716970057244	0.04	0.16
Emp/Flynn10pct	100	8	74	0.13445945945945947	0.07	0.13404294846272416	0.04	0.19749999999999995
Emp/Flynn10pct	100	9	78	0.12179487179487178	0.07	0.11134063317916149	0.04	0.17750000000000002
Emp/Flynn10pct	100	10	63	0.15476190476190477	0.08	0.13974466511667422	0.05	0.235
